"","Year","Month","Police.District.Name","num"
"382","2017","02","BETHESDA",459
"383","2017","12","BETHESDA",459
"384","2020","09","BETHESDA",459
"385","2021","01","WHEATON",459
"386","2024","06","BETHESDA",459
"387","2022","02","MONTGOMERY VILLAGE",458
"388","2023","09","BETHESDA",458
"389","2023","11","BETHESDA",458
"390","2017","02","GERMANTOWN",457
"391","2018","06","ROCKVILLE",457
"392","2018","09","BETHESDA",457
"393","2022","05","BETHESDA",456
"394","2021","09","BETHESDA",455
"395","2022","02","BETHESDA",455
"396","2019","08","BETHESDA",454
"397","2016","07","GERMANTOWN",453
"398","2017","05","ROCKVILLE",453
"399","2021","11","MONTGOMERY VILLAGE",453
"400","2022","12","BETHESDA",453
"401","2016","07","BETHESDA",452
"402","2019","04","GERMANTOWN",452
"403","2020","06","BETHESDA",451
"404","2020","07","BETHESDA",451
"405","2020","12","BETHESDA",451
"406","2024","08","BETHESDA",451
"407","2018","05","BETHESDA",450
"408","2018","07","BETHESDA",450
"409","2021","04","MONTGOMERY VILLAGE",450
"410","2024","09","BETHESDA",450
"411","2019","05","ROCKVILLE",449
"412","2024","10","BETHESDA",449
"413","2025","04","MONTGOMERY VILLAGE",449
"414","2017","07","ROCKVILLE",448
"415","2017","10","BETHESDA",448
"416","2018","04","ROCKVILLE",448
"417","2020","01","BETHESDA",448
"418","2021","08","WHEATON",448
"419","2025","01","MONTGOMERY VILLAGE",448
"420","2022","03","ROCKVILLE",446
"421","2023","12","BETHESDA",445
"422","2017","01","ROCKVILLE",444
"423","2023","02","BETHESDA",444
"424","2017","03","GERMANTOWN",443
"425","2021","06","BETHESDA",443
"426","2018","10","ROCKVILLE",442
"427","2023","10","GERMANTOWN",442
"428","2025","03","MONTGOMERY VILLAGE",442
"429","2016","09","GERMANTOWN",441
"430","2019","03","ROCKVILLE",441
"431","2022","07","BETHESDA",441
"432","2017","09","ROCKVILLE",440
"433","2020","06","MONTGOMERY VILLAGE",440
"434","2016","11","BETHESDA",439
"435","2020","01","ROCKVILLE",439
"436","2020","10","BETHESDA",439
"437","2021","07","BETHESDA",439
"438","2024","11","BETHESDA",439
"439","2016","09","ROCKVILLE",438
"440","2021","11","BETHESDA",438
"441","2022","05","GERMANTOWN",438
"442","2022","11","BETHESDA",438
"443","2023","06","GERMANTOWN",438
"444","2018","04","BETHESDA",437
"445","2019","05","BETHESDA",437
"446","2019","11","ROCKVILLE",435
"447","2018","05","ROCKVILLE",434
"448","2018","12","ROCKVILLE",434
"449","2019","07","GERMANTOWN",434
"450","2021","02","SILVER SPRING",434
"451","2022","09","BETHESDA",433
"452","2019","02","MONTGOMERY VILLAGE",432
"453","2024","12","MONTGOMERY VILLAGE",432
"454","2018","10","BETHESDA",431
"455","2019","05","GERMANTOWN",431
"456","2023","05","GERMANTOWN",431
"457","2017","11","BETHESDA",428
"458","2021","07","GERMANTOWN",428
"459","2017","02","ROCKVILLE",426
"460","2018","01","GERMANTOWN",426
"461","2019","07","BETHESDA",426
"462","2020","02","GERMANTOWN",425
"463","2023","07","BETHESDA",425
"464","2019","10","BETHESDA",424
"465","2019","03","GERMANTOWN",423
"466","2019","12","GERMANTOWN",423
"467","2020","08","BETHESDA",423
"468","2024","01","BETHESDA",423
"469","2019","06","GERMANTOWN",422
"470","2018","03","ROCKVILLE",421
"471","2021","09","GERMANTOWN",421
"472","2021","03","BETHESDA",420
"473","2021","04","WHEATON",419
"474","2022","03","GERMANTOWN",419
"475","2022","10","GERMANTOWN",419
"476","2018","01","ROCKVILLE",417
"477","2018","01","BETHESDA",416
"478","2021","01","BETHESDA",415
"479","2023","11","GERMANTOWN",415
"480","2025","07","WHEATON",415
"481","2021","05","BETHESDA",414
"482","2023","03","BETHESDA",413
"483","2023","08","ROCKVILLE",413
"484","2020","01","GERMANTOWN",412
"485","2023","08","GERMANTOWN",412
"486","2024","05","ROCKVILLE",412
"487","2024","09","ROCKVILLE",412
"488","2016","07","ROCKVILLE",411
"489","2016","11","ROCKVILLE",411
"490","2024","04","BETHESDA",411
"491","2024","04","GERMANTOWN",411
