"","JURISDICTION","YEAR","CRIME","NUMBER"
"482","Prince George's County",1985,"RAPE",366
"483","Prince George's County",1986,"MURDER",52
"484","Prince George's County",1986,"RAPE",429
"485","Prince George's County",1987,"MURDER",94
"486","Prince George's County",1987,"RAPE",459
"487","Prince George's County",1988,"MURDER",101
"488","Prince George's County",1988,"RAPE",420
"489","Prince George's County",1989,"MURDER",122
"490","Prince George's County",1989,"RAPE",302
"491","Prince George's County",1990,"MURDER",112
"492","Prince George's County",1990,"RAPE",493
"493","Prince George's County",1991,"MURDER",147
"494","Prince George's County",1991,"RAPE",501
"495","Prince George's County",1992,"MURDER",134
"496","Prince George's County",1992,"RAPE",452
"497","Prince George's County",1993,"MURDER",141
"498","Prince George's County",1993,"RAPE",459
"499","Prince George's County",1994,"MURDER",127
"500","Prince George's County",1994,"RAPE",413
"501","Prince George's County",1995,"MURDER",137
"502","Prince George's County",1995,"RAPE",405
"503","Prince George's County",1996,"MURDER",142
"504","Prince George's County",1996,"RAPE",344
"505","Prince George's County",1997,"MURDER",83
"506","Prince George's County",1997,"RAPE",347
"507","Prince George's County",1998,"MURDER",107
"508","Prince George's County",1998,"RAPE",305
"509","Prince George's County",1999,"MURDER",95
"510","Prince George's County",1999,"RAPE",265
"511","Prince George's County",2000,"MURDER",72
"512","Prince George's County",2000,"RAPE",228
"513","Prince George's County",2001,"MURDER",109
"514","Prince George's County",2001,"RAPE",255
"515","Prince George's County",2002,"MURDER",141
"516","Prince George's County",2002,"RAPE",274
"517","Prince George's County",2003,"MURDER",135
"518","Prince George's County",2003,"RAPE",287
"519","Prince George's County",2004,"MURDER",146
"520","Prince George's County",2004,"RAPE",293
"521","Prince George's County",2005,"MURDER",164
"522","Prince George's County",2005,"RAPE",305
"523","Prince George's County",2006,"MURDER",130
"524","Prince George's County",2006,"RAPE",287
"525","Prince George's County",2007,"MURDER",141
"526","Prince George's County",2007,"RAPE",267
"527","Prince George's County",2008,"MURDER",122
"528","Prince George's County",2008,"RAPE",250
"529","Prince George's County",2009,"MURDER",96
"530","Prince George's County",2009,"RAPE",221
"531","Prince George's County",2010,"MURDER",91
"532","Prince George's County",2010,"RAPE",204
"533","Prince George's County",2011,"MURDER",95
"534","Prince George's County",2011,"RAPE",183
"535","Prince George's County",2012,"MURDER",63
"536","Prince George's County",2012,"RAPE",173
"537","Prince George's County",2013,"MURDER",56
"538","Prince George's County",2013,"RAPE",176
"539","Prince George's County",2014,"MURDER",56
"540","Prince George's County",2014,"RAPE",206
"541","Prince George's County",2015,"MURDER",78
"542","Prince George's County",2015,"RAPE",278
"543","Prince George's County",2016,"MURDER",88
"544","Prince George's County",2016,"RAPE",277
"545","Prince George's County",2017,"MURDER",81
"546","Prince George's County",2017,"RAPE",130
"547","Prince George's County",2018,"MURDER",61
"548","Prince George's County",2018,"RAPE",262
"549","Prince George's County",2019,"MURDER",75
"550","Prince George's County",2019,"RAPE",201
"551","Prince George's County",2020,"MURDER",93
"552","Prince George's County",2020,"RAPE",250
